Journal,Title,Authors,Author_Information,Abstract,DOI,Misc
"
1. Cancer Manag Res. 2019 Aug 6;11:7455-7472. doi: 10.2147/CMAR.S201177. eCollection
2019.","The relevance between the immune response-related gene module and clinical traits
in head and neck squamous cell carcinoma.","Song Y(#)(1), Pan Y(#)(1), Liu J(1).","Author information: 
(1)State Key Laboratory of Oral Diseases, National Clinical Research Center for
Oral Diseases, Department of Orthodontics, West China Hospital of Stomatology,
Sichuan University, Chengdu, 610041, People's Republic of China.
(#)Contributed equally","Purpose: Head and neck squamous cell carcinoma (HNSCC) is the sixth most
prevalent cancer in the world, accounting for more than 90% of head and neck
malignant tumors. However, its molecular mechanism is largely unknown. To help
elucidate the potential mechanism of HNSCC tumorigenesis, we investigated the
gene interaction patterns associated with tumorigenesis.
Methods: Weighted gene co-expression network analysis (WGCNA) can help us to
predict the intrinsic relationship or correlation between gene expression.
Additionally, we further explored the combination of clinical information and
module construction.
Results: Sixteen modules were constructed, among which the key module most
closely associated with clinical information was identified. By analyzing the
genes in this module, we found that the latter may be related to the immune
response, inflammatory response and formation of the tumor microenvironment.
Sixteen hub genes were identified-ARHGAP9, SASH3, CORO1A, ITGAL, PPP1R16B,
TBC1D10C, IL10RA, ITK, AKNA, PRKCB, TRAF3IP3, GIMAP4, CCR7, P2RY8, GIMAP7, and
SP140. We further validated these genes at the transcriptional and translation
levels.
Conclusion: The innovative use of a weighted network to analyze HNSCC samples
provides new insights into the molecular mechanism and prognosis of HNSCC.
Additionally, the hub genes we identified can be used as biomarkers and
therapeutic targets of HNSCC, laying the foundation for the accurate diagnosis
and treatment of HNSCC in clinical and research in the future.","DOI: 10.2147/CMAR.S201177 
PMCID: PMC6689548
PMID: 31496804 ","Conflict of interest statement: The authors report no conflicts of interest in
this work."
2. Immunol Rev. 2019 May;289(1):158-172. doi: 10.1111/imr.12743.,G-protein coupled receptors and ligands that organize humoral immune responses.,"Lu E(1), Cyster JG(1).","Author information: 
(1)Howard Hughes Medical Institute and Department of Microbiology and Immunology,
University of California San Francisco, San Francisco, California.","B-cell responses are dynamic processes that depend on multiple types of
interactions. Rare antigen-specific B cells must encounter antigen and
specialized systems are needed-unique to each lymphoid tissue type-to ensure this
happens efficiently. Lymphoid tissue barrier cells act to ensure that pathogens, 
while being permitted entry for B-cell recognition, are blocked from replication 
or dissemination. T follicular helper (Tfh) cells often need to be primed by
dendritic cells before supporting B-cell responses. For most responses,
antigen-specific helper T cells and B cells need to interact, first to initiate
clonal expansion and the plasmablast response, and later to support the germinal 
center (GC) response. Newly formed plasma cells need to travel to supportive
niches. GC B cells must become confined to the follicle center, organize into
dark and light zones, and interact with Tfh cells. Memory B cells need to be
positioned for rapid responses following reinfection. Each of these events
requires the actions of multiple G-protein coupled receptors (GPCRs) and their
ligands, including chemokines and lipid mediators. This review will focus on the 
guidance cue code underlying B-cell immunity, with an emphasis on findings from
our laboratory and on newer advances in related areas. We will discuss our recent
identification of geranylgeranyl-glutathione as a ligand for P2RY8. Our goal is
to provide the reader with a focused knowledge about the GPCRs guiding B-cell
responses and how they might be therapeutic targets, while also providing
examples of how multiple types of GPCRs can cooperate or act iteratively to
control cell behavior.",© 2019 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd.,"DOI: 10.1111/imr.12743 
PMCID: PMC6464390 [Available on 2020-05-01]
PMID: 30977196  [Indexed for MEDLINE]"
"3. Genes Chromosomes Cancer. 2019 Sep;58(9):619-626. doi: 10.1002/gcc.22748. Epub
2019 Apr 3.","GATA3 germline variant is associated with CRLF2 expression and predicts outcome
in pediatric B-cell precursor acute lymphoblastic leukemia.","Madzio J(1)(2), Pastorczak A(1), Sedek L(3), Braun M(1)(2)(4), Taha J(1),
Wypyszczak K(1), Trelinska J(1), Lejman M(5), Muszynska-Roslan K(6), Tomasik
B(1)(2)(7), Derwich K(8), Koltan A(9), Kazanowska B(10), Irga-Jaworska N(11),
Badowska W(12), Matysiak M(13), Kowalczyk J(5), Styczynski J(9), Fendler
W(7)(14), Szczepanski T(15), Mlynarski W(1).","Author information: 
(1)Department of Pediatrics, Oncology and Hematology, Medical University of Lodz,
Lodz, Poland.
(2)Postgraduate School of Molecular Medicine, Medical University of Warsaw,
Warsaw, Poland.
(3)Department of Microbiology and Immunology, Medical University of Silesia,
Katowice, Poland.
(4)Department of Pathology, Medical University of Lodz, Lodz, Poland.
(5)Department of Pediatric Hematology and Oncology, Medical University of Lublin,
Lublin, Poland.
(6)Department of Pediatric Oncology and Hematology, Medical University of
Bialystok, Bialystok, Poland.
(7)Department of Biostatistics & Translational Medicine, Medical University of
Lodz, Lodz, Poland.
(8)Department of Pediatric Hematology, Oncology and Transplantology, University
of Medical Sciences, Poznan, Poland.
(9)Department of Pediatric Hematology and Oncology, Collegium Medicum, Nicolaus
Copernicus University, Torun, Poland.
(10)Department of Pediatric Hematology, Oncology and Transplantology, Medical
University of Wroclaw, Wroclaw, Poland.
(11)Department of Pediatric Hematology, Gdansk Medical University, Gdansk,
Poland.
(12)Department of Pediatric Hematology and Oncology, University of Warmia and
Mazury, Olsztyn, Poland.
(13)Department of Pediatric Hematology and Oncology, Medical University of
Warsaw, Warsaw, Poland.
(14)Department of Radiation Oncology, Dana-Farber Cancer Institute, Boston,
Massachusetts.
(15)Department of Pediatric Hematology and Oncology, Zabrze Medical University of
Silesia, Katowice, Poland.","The germline variant at rs3824662 in GATA3 is a risk locus for Philadelphia-like 
acute lymphoblastic leukemia (Ph-like ALL), the biological subtype of B-cell
precursor (BCP)-ALL defined by a distinct gene expression profile and the
presence of specific somatic aberrations including rearrangements of CRLF2. In
this study, we investigated whether rs3824662 in GATA3 associates with CRLF2
expression in leukemic cells and predicts prognosis in pediatric BCP-ALL patients
treated according to the ALL Intercontinental Berlin-Frankfurt-Münster (IC BFM)
2009 (n = 645) and the ALL IC BFM 2002 (n = 216) protocols. High expression of
CRLF2 was observed at both protein and mRNA levels (fourfold higher in AA than in
CA + CC) among GATA3 AA variant carriers, independent of the presence of
P2RY8-CRLF2 fusion. Additionally, the AA variant at rs3824662 was a significant
factor affecting minimal residual disease level at the end of induction phase and
overall survival regardless of the risk group and the protocol. The germline
variant at rs3824662 in GATA3 is a prognostic factor which associates with CRLF2 
expression in leukemic cells supporting the hypothesis that GATA3 may have a
regulatory effect on the CRLF2 pathway in pediatric BCP-ALL.","© 2019 Wiley Periodicals, Inc.","DOI: 10.1002/gcc.22748 
PMID: 30859636  [Indexed for MEDLINE]"
"4. Nature. 2019 Mar;567(7747):244-248. doi: 10.1038/s41586-019-1003-z. Epub 2019 Mar
6.","S-Geranylgeranyl-L-glutathione is a ligand for human B cell-confinement receptor 
P2RY8.","Lu E(1), Wolfreys FD(1), Muppidi JR(1)(2), Xu Y(1), Cyster JG(3).","Author information: 
(1)Howard Hughes Medical Institute and Department of Microbiology and Immunology,
University of California, San Francisco, CA, USA.
(2)Lymphoid Malignancies Branch, National Cancer Institute, National Institutes
of Health, Bethesda, MD, USA.
(3)Howard Hughes Medical Institute and Department of Microbiology and Immunology,
University of California, San Francisco, CA, USA. jason.cyster@ucsf.edu.","Germinal centres are important sites for antibody diversification and affinity
maturation, and are also a common origin of B cell malignancies. Despite being
made up of motile cells, germinal centres are tightly confined within B cell
follicles. The cues that promote this confinement are incompletely understood.
P2RY8 is a Gα13-coupled receptor that mediates the inhibition of migration and
regulates the growth of B cells in lymphoid tissues1,2. P2RY8 is frequently
mutated in germinal-centre B cell-like diffuse large B cell lymphoma (GCB-DLBCL) 
and Burkitt lymphoma1,3-6, and the ligand for this receptor has not yet been
identified. Here we perform a search for P2RY8 ligands and find P2RY8 bioactivity
in bile and in culture supernatants of several mouse and human cell lines. Using 
a seven-step biochemical fractionation procedure and a drop-out mass spectrometry
approach, we show that a previously undescribed biomolecule,
S-geranylgeranyl-L-glutathione (GGG), is a potent P2RY8 ligand that is detectable
in lymphoid tissues at the nanomolar level. GGG inhibited the chemokine-mediated 
migration of human germinal-centre B cells and T follicular helper cells, and
antagonized the induction of phosphorylated AKT in germinal-centre B cells. We
also found that the enzyme gamma-glutamyltransferase-5 (GGT5), which was highly
expressed by follicular dendritic cells, metabolized GGG to a form that did not
activate the receptor. Overexpression of GGT5 disrupted the ability of P2RY8 to
promote B cell confinement to germinal centres, which indicates that GGT5
establishes a GGG gradient in lymphoid tissues. This work defines GGG as an
intercellular signalling molecule that is involved in organizing and controlling 
germinal-centre responses. As the P2RY8 locus is modified in several other types 
of cancer in addition to GCB-DLBCL and Burkitt lymphoma, we speculate that GGG
might have organizing and growth-regulatory roles in multiple human tissues.","DOI: 10.1038/s41586-019-1003-z 
PMCID: PMC6640153
PMID: 30842656  [Indexed for MEDLINE]"
"5. Leukemia. 2019 Apr;33(4):893-904. doi: 10.1038/s41375-018-0297-4. Epub 2018 Nov
28.","Single-cell analysis identifies CRLF2 rearrangements as both early and late
events in Down syndrome and non-Down syndrome acute lymphoblastic leukaemia.","Potter N(1), Jones L(2), Blair H(2), Strehl S(3), Harrison CJ(2), Greaves M(1),
Kearney L(1), Russell LJ(4).","Author information: 
(1)The Institute of Cancer Research, London, UK.
(2)Northern Institute for Cancer Research, Newcastle University,
Newcastle-upon-Tyne, UK.
(3)CCRI, Children's Cancer Research Institute, St. Anna Kinderkrebsforschung,
Vienna, Austria.
(4)Northern Institute for Cancer Research, Newcastle University,
Newcastle-upon-Tyne, UK. lisa.russell@newcastle.ac.uk.","Deregulated expression of the type I cytokine receptor, CRLF2, is observed in
5-15% of precursor B-cell acute lymphoblastic leukaemia (B-ALL). We have
previously reported the genomic landscape of patients with CRLF2 rearrangements
(CRLF2-r) using both whole genome and exome sequencing, which identified a number
of potential clonal and sub-clonal genomic alterations. In this study, we aimed
to assess when the CRLF2-r; IGH-CRLF2 or P2RY8-CRLF2, arose during the evolution 
of both Down syndrome-ALL (DS-ALL) and non-DS-ALL. Using fluorescence in situ
hybridisation, we were able to track up to four structural variants in single
cells from 47 CRLF2-r B-ALL patients, which in association with our multiplex
single-cell analysis of a further four patients, permitted simultaneous tracking 
of copy number alterations, structural and single nucleotide variants within
individual cells. We observed CRLF2-r arising as both early and late events in DS
and non-DS-ALL patients. Parallel evolution of discrete clones was observed in
the development of CRLF2-r B-ALL, either involving the CRLF2-r or one of the
other tracked abnormalities. In-depth single-cell analysis identified both linear
and branching evolution with early clones harbouring a multitude of
abnormalities, including the CRLF2-r in DS-ALL patients.","DOI: 10.1038/s41375-018-0297-4 
PMCID: PMC6398588
PMID: 30487598  [Indexed for MEDLINE]"
6. Gigascience. 2018 Jul 1;7(7). doi: 10.1093/gigascience/giy079.,Clinker: visualizing fusion genes detected in RNA-seq data.,"Schmidt BM(1), Davidson NM(1)(2), Hawkins ADK(1), Bartolo R(1), Majewski
IJ(3)(4), Ekert PG(1), Oshlack A(1)(2).","Author information: 
(1)Murdoch Children's Research Institute, The Royal Children's Hospital,
Flemington, Road, Parkville Vic 3052 Australia.
(2)School of Biosciences, University of Melbourne, Parkivlle Vic 3010, Australia.
(3)Division of Cancer and Haematology, The Walter and Eliza Hall Institute of
Medical Research, Parkville Vic 3052, Australia.
(4)Faculty of Medicine, Dentistry and Health Sciences, University of Melbourne,
Parkville Vic 3010, Australia.","Background: Genomic profiling efforts have revealed a rich diversity of oncogenic
fusion genes. While there are many methods for identifying fusion genes from
RNA-sequencing (RNA-seq) data, visualizing these transcripts and their supporting
reads remains challenging.
Findings: Clinker is a bioinformatics tool written in Python, R, and Bpipe that
leverages the superTranscript method to visualize fusion genes. We demonstrate
the use of Clinker to obtain interpretable visualizations of the RNA-seq data
that lead to fusion calls. In addition, we use Clinker to explore multiple fusion
transcripts with novel breakpoints within the P2RY8-CRLF2 fusion gene in B-cell
acute lymphoblastic leukemia.
Conclusions: Clinker is freely available software that allows visualization of
fusion genes and the RNA-seq data used in their discovery.","DOI: 10.1093/gigascience/giy079 
PMCID: PMC6065480
PMID: 29982439  [Indexed for MEDLINE]"
"7. Int J Hematol. 2018 Sep;108(3):312-318. doi: 10.1007/s12185-018-2474-7. Epub 2018
May 21.","Copy number abnormality of acute lymphoblastic leukemia cell lines based on their
genetic subtypes.","Tomoyasu C(1)(2), Imamura T(3), Tomii T(1), Yano M(4), Asai D(5), Goto H(6),
Shimada A(7), Sanada M(8), Iwamoto S(9), Takita J(10), Minegishi M(11), Inukai
T(12), Sugita K(12), Hosoi H(1).","Author information: 
(1)Department of Pediatrics, Graduate School of Medical Science, Kyoto
Prefectural University of Medicine, 465 Kajii-cho, Hirokoji, Kamigyo-ku, Kyoto,
602-8566, Japan.
(2)Department of Pediatrics, National Hospital Organization Maizuru Medical
Center, Maizuru, Japan.
(3)Department of Pediatrics, Graduate School of Medical Science, Kyoto
Prefectural University of Medicine, 465 Kajii-cho, Hirokoji, Kamigyo-ku, Kyoto,
602-8566, Japan. imamura@koto.kpu-m.ac.jp.
(4)Department of Pediatrics, Kyoto City Hospital, Kyoto, Japan.
(5)Department of Pediatrics, Japanese Red Cross Kyoto Daini Hospital, Kyoto,
Japan.
(6)Division of Hemato-Oncology and Regenerative Medicine, Kanagawa Children's
Medical Center, Yokohama, Japan.
(7)Department of Pediatric Hematology/Oncology, Okayama University Hospital,
Okayama, Japan.
(8)Clinical Research Center, National Hospital Organization Nagoya Medical
Center, Nagoya, Japan.
(9)Department of Pediatrics, Mie University Graduate School of Medicine, Tsu,
Japan.
(10)Department of Pediatrics, Graduate School of Medicine, The University of
Tokyo, Tokyo, Japan.
(11)Japanese Red Cross Fukushima Blood Center, Okuma, Japan.
(12)Department of Pediatrics, Yamanashi University, Kofu, Japan.","In this study, we performed genetic analysis of 83 B cell precursor acute
lymphoblastic leukemia (B-ALL) cell lines. First, we performed multiplex
ligation-dependent probe amplification analysis to identify copy number
abnormalities (CNAs) in eight genes associated with B-ALL according to genetic
subtype. In Ph+ B-ALL cell lines, the frequencies of IKZF1, CDKN2A/2B, BTG1, and 
PAX5 deletion were significantly higher than those in Ph- B-ALL cell lines. The
frequency of CDKN2A/2B deletion in KMT2A rearranged cell lines was significantly 
lower than that in non-KMT2A rearranged cell lines. These findings suggest that
CNAs are correlated with genetic subtype in B-ALL cell lines. In addition, we
determined that three B-other ALL cell lines had IKZF1 deletions (YCUB-5, KOPN49,
and KOPN75); we therefore performed comprehensive genetic analysis of these cell 
lines. YCUB-5, KOPN49, and KOPN75 had P2RY8-CRLF2, IgH-CRLF2, and PAX5-ETV6
fusions, respectively. Moreover, targeted capture sequencing revealed that YCUB-5
had JAK2 R683I and KRAS G12D, and KOPN49 had JAK2 R683G and KRAS G13D mutations. 
These data may contribute to progress in the field of leukemia research.","DOI: 10.1007/s12185-018-2474-7 
PMID: 29786757  [Indexed for MEDLINE]"
8. Blood Adv. 2018 Mar 13;2(5):529-533. doi: 10.1182/bloodadvances.2017014704.,"Prognostic impact of kinase-activating fusions and IKZF1 deletions in pediatric
high-risk B-lineage acute lymphoblastic leukemia.","Tran TH(1)(2), Harris MH(3), Nguyen JV(2), Blonquist TM(4), Stevenson KE(4),
Stonerock E(5), Asselin BL(6), Athale UH(7), Clavell LA(8), Cole PD(9), Kelly
KM(10), Laverdiere C(1), Leclerc JM(1), Michon B(11), Schorin MA(12), Welch
JJG(13), Reshmi SC(5), Neuberg DS(4), Sallan SE(14), Loh ML(2), Silverman LB(14).","Author information: 
(1)Division of Pediatric Hematology-Oncology, Charles-Bruneau Cancer Center,
Centre Hospitalier Universitaire Sainte-Justine Research Center, Montréal, QC,
Canada.
(2)Helen Diller Family Cancer Research Center, Department of Pediatrics, Benioff 
Children's Hospital, University of California, San Francisco, San Francisco, CA.
(3)Department of Pathology, Boston Children's Hospital, Boston, MA.
(4)Department of Biostatistics and Computational Biology, Dana-Farber Cancer
Institute, Boston, MA.
(5)Department of Pathology and Laboratory Medicine, Nationwide Children's
Hospital, Columbus, OH.
(6)Department of Pediatrics, University of Rochester School of Medicine and
Wilmot Cancer Institute, Rochester, NY.
(7)Division of Hematology/Oncology, McMaster Children's Hospital, Hamilton Health
Sciences, Hamilton, ON, Canada.
(8)San Jorge Children's Hospital, San Juan, Puerto Rico.
(9)Department of Pediatrics, Montefiore Medical Center, Albert Einstein College
of Medicine, Bronx, NY.
(10)Division of Pediatric Hematology/Oncology/Stem Cell Transplantation, Columbia
University Medical Center, New York, NY.
(11)Département de Pédiatrie, Centre Mère-Enfant Soleil, Centre Hospitalier
Universitaire de l'Université Laval, Québec City, QC, Canada.
(12)Inova Fairfax Hospital for Children, Falls Church, VA.
(13)Division of Pediatric Hematology/Oncology, Hasbro Children's Hospital/Brown
University, Providence, RI; and.
(14)Department of Pediatric Oncology, Dana-Farber Cancer Institute and Boston
Children's Hospital, Boston, MA.","Recurrent chromosomal rearrangements carry prognostic significance in pediatric
B-lineage acute lymphoblastic leukemia (B-ALL). Recent genome-wide analyses
identified a high-risk B-ALL subtype characterized by a diverse spectrum of
genetic alterations activating kinases and cytokine receptor genes. This subtype 
is associated with a poor prognosis when treated with conventional chemotherapy
but has demonstrated sensitivity to the relevant tyrosine kinase inhibitors. We
sought to determine the frequency of kinase-activating fusions among National
Cancer Institute (NCI) high-risk, Ph-negative, B-ALL patients enrolled on
Dana-Farber Cancer Institute ALL Consortium Protocol 05-001 and to describe their
associated clinical characteristics and outcomes. Among the 105 patients
screened, 16 (15%) harbored an ABL-class fusion (ETV6-ABL1: n = 1; FOXP1-ABL1: n 
= 1; SFPQ-ABL1: n = 1; ZC3HAV1-ABL2: n = 1) or a fusion activating the JAK-STAT
pathway (P2RY8-CRLF2: n = 8; PAX5-JAK2: n = 4). Sixty-nine percent of patients
with an identified fusion had a concomitant IKZF1 deletion (n = 11). In
univariate analysis, fusion-positivity and IKZF1 deletion were each associated
with inferior event-free survival; IKZF1 deletion retained statistical
significance in multivariable analysis (hazard ratio, 2.64; P = .019). Our
findings support therapy intensification for IKZF1-altered patients, irrespective
of the presence of a kinase-activating fusion.",© 2018 by The American Society of Hematology.,"DOI: 10.1182/bloodadvances.2017014704 
PMCID: PMC5851421
PMID: 29507076  [Indexed for MEDLINE]"
9. Leuk Res. 2018 Mar;66:79-84. doi: 10.1016/j.leukres.2018.01.012. Epub 2018 Feb 3.,"High frequency of intermediate and poor risk copy number abnormalities in
pediatric cohort of B-ALL correlate with high MRD post induction.","Singh M(1), Bhatia P(2), Trehan A(1), Varma N(3), Sachdeva MS(3), Bansal D(1),
Jain R(1), Naseem S(3).","Author information: 
(1)Paediatric Haematology-Oncology Unit, Post Graduate Institute of Medical
Education and Research, Chandigarh, India.
(2)Paediatric Haematology-Oncology Unit, Post Graduate Institute of Medical
Education and Research, Chandigarh, India. Electronic address:
bhatia.prateek@pgimer.edu.in.
(3)Department of Haematology, Post Graduate Institute of Medical Education and
Research, Chandigarh, India.","Copy number abnormalities (CNAs) and recurrent fusion transcripts are important
genetic events which define and prognosticate B-Cell Acute Lymphoblastic Leukemia
(B-ALL). We evaluated CNAs and fusion transcripts in 67 pediatric B-ALL cases and
correlated the data with standard risk factors and early treatment outcome
parameters. Common fusion transcripts ETV6-RUNX1, E2A-PBX, BCR-ABL1 and MLL-AF4
were examined by RT-PCR and noted in 15%, 15%, 13% and 1.4% of all cases
respectively. CNAs in IKZF1, PAX5, EBF1, BTG1, RB1, CDKN2A/B and genes from PAR1 
region viz., CSF2RA, IL3RA,P2RY8, SHOX region and CRLF2 were analyzed by
multiplex ligation dependent probe amplification assay and were detected in 70%
(47/67) of cases, with predominantly deletions in CDKN2A/B (36%), PAX5 (18%) and 
IKZF1 (16%). A statistically significant association of intermediate/poor risk
CNAs was noted with high WBC count (p = 0.001), NCI group (p = 0.02) and minimal 
residual disease at Day35 (p < 0.0001). IKZF1 and CDKN2A/B deletion revealed poor
EFS of 56% at 24 months as compared to EFS of 80% in rest of the cases (p = 0.05)
suggesting their potential role in early risk stratification.",Copyright © 2018 Elsevier Ltd. All rights reserved.,"DOI: 10.1016/j.leukres.2018.01.012 
PMID: 29407587  [Indexed for MEDLINE]"
"10. Oncotarget. 2017 Oct 26;8(57):96466-96467. doi: 10.18632/oncotarget.22098.
eCollection 2017 Nov 14.",The enigmatic role(s) of P2RY8-CRLF2.,"Panzer-Grümayer R(1), Köhrer S(1), Haas OA(1).","Author information: 
(1)Renate Panzer-Grümayer: Leukemia Biology Group, Children's Cancer Research
Institute, Vienna, Austria.","DOI: 10.18632/oncotarget.22098 
PMCID: PMC5722491
PMID: 29228539 "
